id,experiment_id,trial_number,question_id,sequence_a_first_tone,sequence_a_second_tone,sequence_a_gap_duration,sequence_b_first_tone,sequence_b_second_tone,sequence_b_gap_duration,response,created_at
256,40,13,SSR,500,500,600,500,500,540,longer,2024-12-08 16:06:26.874+00
257,43,8,HSN,500,600,540,500,500,600,equal,2024-12-08 16:06:30.766+00
258,42,12,HSR,500,500,600,500,600,540,equal,2024-12-08 16:06:31.53+00
259,40,14,SSN,500,500,540,500,500,600,equal,2024-12-08 16:06:32.505+00
260,43,9,LSR,500,500,600,500,400,540,equal,2024-12-08 16:06:38.366+00
261,40,15,LMN,500,400,600,500,500,600,equal,2024-12-08 16:06:38.422+00
262,42,13,LLN,500,400,660,500,500,600,longer,2024-12-08 16:06:40.261+00
263,42,14,SMR,500,500,600,500,500,600,equal,2024-12-08 16:06:45.51+00
264,43,10,LSN,500,400,540,500,500,600,equal,2024-12-08 16:06:47.326+00
265,42,15,SSN,500,500,540,500,500,600,equal,2024-12-08 16:06:51.063+00
266,42,16,HSN,500,600,540,500,500,600,equal,2024-12-08 16:06:57.329+00
267,40,16,HLN,500,600,660,500,500,600,longer,2024-12-08 16:07:13.678+00
268,42,17,LLR,500,500,600,500,400,660,shorter,2024-12-08 16:07:14.381+00
269,42,18,LSR,500,500,600,500,400,540,equal,2024-12-08 16:07:20.181+00
270,40,17,LLR,500,500,600,500,400,660,equal,2024-12-08 16:07:21.093+00
271,40,18,HSR,500,500,600,500,600,540,longer,2024-12-08 16:07:28.786+00
272,44,1,LMN,500,400,600,500,500,600,shorter,2024-12-08 16:10:51.919+00
273,44,2,HSN,500,600,540,500,500,600,equal,2024-12-08 16:11:08.101+00
274,44,3,SSR,500,500,600,500,500,540,equal,2024-12-08 16:11:20.761+00
275,44,4,LLN,500,400,660,500,500,600,equal,2024-12-08 16:11:33.278+00
276,44,5,LLR,500,500,600,500,400,660,equal,2024-12-08 16:11:43.244+00
277,44,6,HSR,500,500,600,500,600,540,shorter,2024-12-08 16:11:55.192+00
278,44,7,SMR,500,500,600,500,500,600,equal,2024-12-08 16:12:03.05+00
279,44,8,SLR,500,500,600,500,500,660,shorter,2024-12-08 16:12:21.959+00
280,44,9,SMN,500,500,600,500,500,600,equal,2024-12-08 16:12:29.965+00
281,44,10,SLN,500,500,660,500,500,600,shorter,2024-12-08 16:12:39.611+00
282,44,11,LSR,500,500,600,500,400,540,shorter,2024-12-08 16:12:49.899+00
283,44,12,HMN,500,600,600,500,500,600,equal,2024-12-08 16:12:59.561+00
284,44,13,LSN,500,400,540,500,500,600,shorter,2024-12-08 16:13:08.79+00
285,44,14,HLN,500,600,660,500,500,600,equal,2024-12-08 16:13:22.864+00
286,44,15,HMR,500,500,600,500,600,600,equal,2024-12-08 16:13:31.042+00
287,44,16,HLR,500,500,600,500,600,660,shorter,2024-12-08 16:13:38.824+00
288,44,17,SSN,500,500,540,500,500,600,equal,2024-12-08 16:13:52.792+00
289,44,18,LMR,500,500,600,500,400,600,shorter,2024-12-08 16:14:01.941+00
290,45,1,LMN,500,400,600,500,500,600,shorter,2024-12-08 16:14:48.442+00
291,45,2,HLN,500,600,660,500,500,600,shorter,2024-12-08 16:14:57.935+00
292,45,3,LSN,500,400,540,500,500,600,shorter,2024-12-08 16:15:04.968+00
293,45,4,SSN,500,500,540,500,500,600,equal,2024-12-08 16:15:12.446+00
294,45,5,LSR,500,500,600,500,400,540,equal,2024-12-08 16:15:25.4+00
295,45,6,SSR,500,500,600,500,500,540,equal,2024-12-08 16:15:35.206+00
296,29,5,SSN,500,500,540,500,500,600,shorter,2024-12-08 16:15:36.66+00
297,29,6,SLR,500,500,600,500,500,660,shorter,2024-12-08 16:15:45.012+00
298,45,7,HMN,500,600,600,500,500,600,equal,2024-12-08 16:15:44.512+00
299,29,7,HMR,500,500,600,500,600,600,equal,2024-12-08 16:15:53.531+00
300,45,8,SLR,500,500,600,500,500,660,shorter,2024-12-08 16:15:54.492+00
301,29,8,LMN,500,400,600,500,500,600,shorter,2024-12-08 16:16:00.281+00
302,45,9,LLN,500,400,660,500,500,600,longer,2024-12-08 16:16:01.83+00
303,45,10,HLR,500,500,600,500,600,660,shorter,2024-12-08 16:16:09.554+00
304,45,11,LLR,500,500,600,500,400,660,equal,2024-12-08 16:16:19.041+00
305,45,12,HSR,500,500,600,500,600,540,shorter,2024-12-08 16:16:25.614+00
306,46,1,SLN,500,500,660,500,500,600,longer,2024-12-08 16:16:32.75+00
